Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/23/2025,07/29/2025,Returned Payment,,Reversal,-3188.21,
07/27/2025,07/28/2025,AMAZON PRIME PMTS,Bills & Utilities,Return,75.33,
07/27/2025,07/27/2025,AMAZON MKTPL*0O17P4PO3,Shopping,Sale,-23.44,
07/24/2025,07/25/2025,Amazon.com*YB1JR6TX3,Shopping,Sale,-12.75,
07/24/2025,07/25/2025,AMAZON MKTPL*4Q7ZO0DZ3,Shopping,Sale,-10.77,
07/23/2025,07/23/2025,Payment Thank You - 2nd A,,Payment,3188.21,
07/23/2025,07/23/2025,PURCH INTEREST DEBIT ADJ,Fees & Adjustments,Fee,-8.22,
07/18/2025,07/23/2025,Returned Payment,,Reversal,-3188.21,
07/19/2025,07/20/2025,GOOGLE *Google One,Bills & Utilities,Sale,-2.19,
07/17/2025,07/20/2025,AMAZON MKTPL*8N67X0AP3,Shopping,Sale,-110.59,
07/18/2025,07/18/2025,AUTOMATIC PAYMENT - THANK,,Payment,3188.21,
07/09/2025,07/10/2025,GOOGLE *ChatGPT,Bills & Utilities,Sale,-22.03,
07/09/2025,07/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
06/29/2025,06/30/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.42,
06/27/2025,06/29/2025,AMAZON MKTPL*N30ZP4CL2,Shopping,Sale,-117.34,
06/25/2025,06/26/2025,AMAZON MKTPL*NQ7QV4QF2,Shopping,Sale,-28.74,
06/25/2025,06/26/2025,AMAZON MKTPL*NQ8KQ94N1,Shopping,Sale,-31.96,
06/22/2025,06/23/2025,AMAZON MKTPL*NO4N68MV0,Shopping,Sale,-49.32,
06/22/2025,06/23/2025,AMAZON MKTPL*NQ6SZ6F42,Shopping,Sale,-116.07,
06/21/2025,06/22/2025,AMAZON MKTPL*NO3JG2VI1,Shopping,Sale,-29.41,
06/19/2025,06/20/2025,GOOGLE *Google One,Bills & Utilities,Sale,-2.19,
06/18/2025,06/19/2025,AMAZON MKTPL*NA6Q30RT1,Shopping,Sale,-59.27,
06/18/2025,06/18/2025,AUTOMATIC PAYMENT - THANK,,Payment,834.60,
06/13/2025,06/15/2025,AMAZON MKTPL*NA4473Q72,Shopping,Sale,-15.68,
06/12/2025,06/13/2025,AMAZON MKTPL*NH6V23IO0,Shopping,Sale,-19.90,
06/11/2025,06/12/2025,Amazon.com*NH7IK58T0,Shopping,Sale,-1000.00,
06/09/2025,06/11/2025,AMAZON MKTPL*NA2LF4452,Shopping,Sale,-197.08,
06/09/2025,06/10/2025,AMAZON MKTPL*NH6VX21M1,Shopping,Sale,-36.49,
06/09/2025,06/10/2025,GOOGLE *ChatGPT,Bills & Utilities,Sale,-22.03,
06/09/2025,06/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
06/07/2025,06/08/2025,AMAZON MKTPL*NH07Q4CK1,Shopping,Sale,-23.21,
06/06/2025,06/08/2025,AMAZON MKTPL*N69I51KS0,Shopping,Sale,-79.60,
06/07/2025,06/08/2025,AMAZON MKTPL*NH7UB5Q92,Shopping,Sale,-90.05,
06/07/2025,06/08/2025,AMAZON MKTPL*NH2BR2DK2,Shopping,Sale,-464.50,
06/05/2025,06/06/2025,AMAZON MKTPL*N65TA6B90,Shopping,Sale,-99.53,
06/05/2025,06/06/2025,AMAZON MKTPL*N62Q16K01,Shopping,Sale,-240.59,
06/04/2025,06/05/2025,AMAZON MKTPL*N65EH5P30,Shopping,Sale,-37.59,
05/30/2025,06/01/2025,AMAZON MKTPL*NN14228V0,Shopping,Sale,-618.25,
05/29/2025,05/30/2025,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
05/28/2025,05/29/2025,AMAZON MKTPL*NN2RM3171,Shopping,Sale,-66.34,
05/26/2025,05/27/2025,AMAZON MKTPLACE PMTS,Shopping,Return,105.06,
05/21/2025,05/22/2025,AMAZON MKTPL*NZ0433L20,Shopping,Sale,-77.30,
05/19/2025,05/20/2025,GOOGLE *Google One,Bills & Utilities,Sale,-2.19,
05/18/2025,05/18/2025,AUTOMATIC PAYMENT - THANK,,Payment,3300.41,
05/16/2025,05/18/2025,AMAZON MKTPL*NW78901X0,Shopping,Sale,-15.46,
05/14/2025,05/15/2025,Amazon.com*NI0SA8W80,Shopping,Sale,-178.08,
05/14/2025,05/15/2025,Whole Foods LNW 10436,Groceries,Sale,-42.97,
05/14/2025,05/15/2025,AMAZON MKTPL*NI5XE4W01,Shopping,Sale,-20.78,
05/14/2025,05/15/2025,AMAZON MKTPLACE PMTS,Shopping,Return,14.37,
05/13/2025,05/14/2025,AMAZON MKTPL*NI7SJ79W0,Shopping,Sale,-220.62,
05/09/2025,05/11/2025,GOOGLE *ChatGPT,Bills & Utilities,Sale,-22.03,
05/09/2025,05/09/2025,NOTION LABS  INC.,Professional Services,Sale,-13.19,
05/05/2025,05/06/2025,Amazon.com*NI1AK7XO2,Shopping,Sale,-9.98,
05/03/2025,05/04/2025,AMAZON MKTPLACE PMTS,Shopping,Return,7.73,
05/03/2025,05/04/2025,AMAZON MKTPLACE PMTS,Shopping,Return,17.68,
05/03/2025,05/04/2025,AMAZON MKTPLACE PMTS,Shopping,Return,9.90,
05/03/2025,05/04/2025,AMAZON MKTPL*NI5KW6ZZ2,Shopping,Sale,-105.06,
04/30/2025,05/01/2025,AMAZON MKTPL*YC59R4KK3,Shopping,Sale,-129.38,
04/29/2025,04/30/2025,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
