Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/11/2024,06/12/2024,AMZN Mktp US*PJ9XZ6TF3,Shopping,Sale,-39.80,
06/09/2024,06/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.99,
06/04/2024,06/05/2024,WF WAYFAIR4242275697,Home,Sale,-552.99,
06/03/2024,06/04/2024,Amazon.com*Z56FA66X3,Shopping,Sale,-28.06,
06/03/2024,06/04/2024,AMZN Mktp US,Shopping,Return,42.02,
06/02/2024,06/03/2024,Amazon.com*2N1QX7HY3,Shopping,Sale,-33.14,
05/30/2024,05/31/2024,AMZN Mktp US*1V60O8H83,Shopping,Sale,-36.49,
05/29/2024,05/30/2024,AMZN Mktp US*MH3NH5UJ3,Shopping,Sale,-56.39,
05/29/2024,05/30/2024,GOOGLE *YouTubePremium,Entertainment,Sale,-25.42,
05/29/2024,05/30/2024,AMZN Mktp US*IN8PM7LJ3,Shopping,Sale,-68.57,
05/27/2024,05/27/2024,AMZN Mktp US*RO99Z3HY3,Shopping,Sale,-22.11,
05/25/2024,05/26/2024,AMZN Mktp US*Y399Q4TK3,Shopping,Sale,-9.94,
05/25/2024,05/26/2024,Payment Thank You-Mobile,,Payment,270.62,
05/24/2024,05/24/2024,AMZN Mktp US*D96WG7L03,Shopping,Sale,-132.58,
05/20/2024,05/21/2024,AMZN Mktp US*RY2747NJ3,Shopping,Sale,-26.91,
05/16/2024,05/19/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
05/16/2024,05/17/2024,AMZN Mktp US*Z80581VU3,Shopping,Sale,-20.93,
05/09/2024,05/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.99,
05/07/2024,05/09/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
05/07/2024,05/08/2024,SQ *WOODS COFFEE - EDMOND,Food & Drink,Sale,-10.92,
05/04/2024,05/06/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
05/05/2024,05/05/2024,GOOGLE *Kakao Corp,Shopping,Sale,-2.43,
05/01/2024,05/03/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
04/29/2024,04/30/2024,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.42,
04/24/2024,04/24/2024,AMZN Mktp US*T613T1EF3,Shopping,Sale,-43.78,
04/13/2024,04/14/2024,MCDONALD'S F13759,Food & Drink,Sale,-4.08,
04/09/2024,04/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.99,
04/04/2024,04/05/2024,Amazon.com*QG4FK5LQ3,Shopping,Sale,-35.96,
04/03/2024,04/03/2024,AMZN Mktp US*VX46V70Y3,Shopping,Sale,-43.78,
03/31/2024,04/02/2024,7-ELEVEN 23176,Gas,Sale,-3.31,
03/31/2024,04/01/2024,AMZN Mktp US*RA5CV4XP1,Shopping,Sale,-131.38,
03/29/2024,03/31/2024,GOOGLE *YouTubePremium,Entertainment,Sale,-25.42,
03/31/2024,03/31/2024,WF WAYFAIR4226650047,Home,Return,325.14,
03/30/2024,03/31/2024,GOOGLE *Kakao Corp,Professional Services,Sale,-2.43,
03/24/2024,03/25/2024,GOOGLE *Kakao Corp,Shopping,Sale,-2.43,
03/24/2024,03/25/2024,GOOGLE *Kakao Corp,Professional Services,Sale,-2.43,
03/24/2024,03/25/2024,GOOGLE *Kakao Corp,Shopping,Sale,-2.43,
03/22/2024,03/22/2024,Payment Thank You-Mobile,,Payment,669.14,
03/18/2024,03/18/2024,AMZN Mktp US,Shopping,Return,109.13,
03/13/2024,03/14/2024,AMZN Mktp US*RN6929SH1,Shopping,Sale,-43.78,
03/12/2024,03/13/2024,AMZN Mktp US*R629N3JY2,Shopping,Sale,-232.20,
03/08/2024,03/10/2024,WF WAYFAIR4226650047,Home,Sale,-325.14,
03/09/2024,03/10/2024,NOTION LABS  INC.,Professional Services,Sale,-10.99,
03/10/2024,03/10/2024,AMZN Mktp US*RN0HH8KK2,Shopping,Sale,-96.72,
03/06/2024,03/07/2024,Riot* AN4VZFN90W7Q,Shopping,Sale,-38.70,
03/02/2024,03/04/2024,67TH AVE MARKET,Groceries,Sale,-5.48,
02/29/2024,03/01/2024,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.26,
02/27/2024,02/27/2024,Payment Thank You-Mobile,,Payment,588.25,
02/20/2024,02/21/2024,AMZN Mktp US*RW1JT5DA0,Shopping,Sale,-43.78,
02/18/2024,02/18/2024,AUTOMATIC PAYMENT - THANK,,Payment,484.01,
02/15/2024,02/16/2024,AMZN Mktp US*RI5EF7990,Shopping,Sale,-80.53,
02/14/2024,02/16/2024,QFC 5832,Groceries,Sale,-12.72,
02/11/2024,02/13/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
02/09/2024,02/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.99,
02/08/2024,02/09/2024,67TH AVE MARKET,Groceries,Sale,-13.66,
02/05/2024,02/06/2024,SMOKE N VAPE,Shopping,Sale,-13.79,
02/02/2024,02/04/2024,67TH AVE MARKET,Groceries,Sale,-13.66,
01/31/2024,02/01/2024,GOOGLE *YouTubePremium,Entertainment,Sale,-25.26,
01/30/2024,01/31/2024,ARCO#83186ARCO GAS,Gas,Sale,-13.60,
01/29/2024,01/31/2024,HARBOUR POINTE LUBE&amp;WASH,Automotive,Sale,-15.00,
01/29/2024,01/30/2024,AMZN Mktp US*R27YY20E0,Shopping,Sale,-27.65,
01/29/2024,01/30/2024,AMZN Mktp US*R28FG30C0,Shopping,Sale,-59.73,
01/29/2024,01/30/2024,AMZN Mktp US*R07SK79O2,Shopping,Sale,-43.78,
01/25/2024,01/28/2024,7-ELEVEN 23176,Gas,Sale,-18.02,
01/27/2024,01/28/2024,ARCO#83186ARCO GAS,Gas,Sale,-13.78,
01/22/2024,01/24/2024,7-ELEVEN 23176,Gas,Sale,-14.28,
01/21/2024,01/22/2024,Amazon Prime*R89K63HW2,Bills & Utilities,Sale,-153.73,
01/20/2024,01/21/2024,AMZN Mktp US*R89PT5MK2,Shopping,Sale,-9.98,
01/18/2024,01/18/2024,AUTOMATIC PAYMENT - THANK,,Payment,418.42,
01/16/2024,01/17/2024,AMZN Mktp US*R862W3MX0,Shopping,Sale,-32.84,
01/15/2024,01/16/2024,NEW SEOUL GARDEN,Food & Drink,Sale,-80.48,
01/14/2024,01/16/2024,THE HOME DEPOT 4713,Home,Sale,-100.97,
01/14/2024,01/15/2024,SAHM GOOK JI PALACE,Food & Drink,Sale,-15.25,
01/13/2024,01/15/2024,7-ELEVEN 23176,Gas,Sale,-14.28,
01/11/2024,01/12/2024,Amazon.com*RT1GX2750,Shopping,Sale,-21.22,
01/10/2024,01/12/2024,SHELL OIL 57445959901,Gas,Sale,-14.96,
01/08/2024,01/10/2024,7-ELEVEN 23176,Gas,Sale,-14.28,
01/09/2024,01/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.99,
01/07/2024,01/08/2024,AMZN Mktp US*TK23N2BK2,Shopping,Sale,-41.34,
01/06/2024,01/07/2024,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-25.31,
01/05/2024,01/07/2024,EXXON DKJ FOOD MART,Gas,Sale,-13.17,
01/02/2024,01/03/2024,ARCO#83186ARCO GAS,Gas,Sale,-13.78,
01/01/2024,01/02/2024,GOOGLE *Kakao Corp,Entertainment,Sale,-2.42,
01/01/2024,01/02/2024,GOOGLE *Kakao Corp,Entertainment,Sale,-2.42,
12/29/2023,12/31/2023,7-ELEVEN 23176,Gas,Sale,-14.08,
12/30/2023,12/31/2023,AMZN Mktp US*NB5WP21F3,Shopping,Sale,-28.19,
12/20/2023,12/22/2023,7-ELEVEN 23176,Gas,Sale,-14.08,
12/20/2023,12/22/2023,7-ELEVEN 41103,Gas,Sale,-13.97,
12/19/2023,12/20/2023,AMZN Mktp US*4O9IK1SU3,Shopping,Sale,-33.17,
12/18/2023,12/20/2023,7-ELEVEN 23176,Gas,Sale,-14.08,
12/18/2023,12/18/2023,AUTOMATIC PAYMENT - THANK,,Payment,124.84,
12/17/2023,12/18/2023,AMZN Mktp US*2F68N6KS3,Shopping,Sale,-30.94,
12/16/2023,12/17/2023,GOOGLE *GRYMALA,Shopping,Sale,-99.08,
12/09/2023,12/10/2023,NOTION LABS  INC.,Professional Services,Sale,-10.94,
12/09/2023,12/10/2023,MCDONALD'S F20783,Food & Drink,Sale,-10.48,
12/06/2023,12/06/2023,GOOGLE *YouTubePremium,Entertainment,Sale,-25.31,
12/03/2023,12/04/2023,ARCO#83186ARCO GAS,Gas,Sale,-16.58,
12/02/2023,12/03/2023,Amazon.com*RN3BE9LU3,Shopping,Sale,-25.30,
11/30/2023,12/01/2023,AMZN Mktp US*HX4XA5L03,Shopping,Sale,-13.09,
11/30/2023,12/01/2023,Amazon.com*RD7200VU3,Shopping,Sale,-43.01,
11/28/2023,11/28/2023,GOOGLE *Cube Apps Ltd,Shopping,Sale,-22.09,
